run_id,app_adoption_target,app_adoption_actual,zone_capacity_mw,peak_unmanaged_mw,peak_managed_mw,peak_reduction_mw,peak_stress_unmanaged,peak_stress_managed,ev_energy_managed_mwh,ev_energy_target_mwh,daily_unmanaged_ev_cost_eur,daily_managed_ev_cost_eur,daily_fleet_savings_eur,daily_app_user_savings_eur,daily_savings_per_app_user_eur,annual_fleet_savings_eur,annual_customer_savings_eur,annual_savings_per_app_user_eur,monthly_savings_per_app_user_eur,monthly_savings_per_ev_eur,app_users_count,annual_dso_savings_eur
1,0.6,0.5978,2291.2655713857143,2687.939225428361,2684.345147382661,3.594078045700371,1.1731242589233102,1.1715556594163021,125.0,125.0,10835.132002026,9351.637148207661,1483.494853818338,1482.7618361608402,0.4960728792776314,541475.6216436934,905333.0046816772,181.06660093633545,15.088883411361287,9.024593694061558,2989.0,434443.21048367553
2,0.6,0.608,2291.2655713857143,2717.648913275017,2714.5647265588345,3.0841867161825576,1.1860907557876121,1.1847446932644812,125.0,125.0,10835.132002026,9357.626607626004,1477.5053943999956,1476.9962468786744,0.4858540285785113,539289.4689559984,886683.6021557831,177.3367204311566,14.778060035929718,8.988157815933308,3040.0,60277.000601266634
3,0.6,0.5966,2291.2655713857143,2707.0513745841395,2704.085322752584,2.9660518315554327,1.1814655657514923,1.1801710620201935,125.0,125.0,10835.132002026,9376.360800140137,1458.771201885862,1458.889767177131,0.48906797424644016,532451.4886883396,892549.0529997534,178.50981059995067,14.875817549995888,8.874191478138993,2983.0,61922.30098352336
4,0.6,0.6018,2291.2655713857143,2699.396103080004,2695.129050468805,4.267052611199233,1.1781244988757285,1.1762621863334863,125.0,125.0,10835.132002026,9380.220668462987,1454.9113335630118,1455.2951918311892,0.4836474549123261,531042.6367504993,882656.6052149951,176.53132104299902,14.710943420249919,8.85071061250832,3009.0,172484.9498807407
5,0.6,0.5956,2291.2655713857143,2713.2535784548354,2709.672229220818,3.58134923401758,1.184172455755057,1.1826094116109198,125.0,125.0,10835.132002026,9379.424871006253,1455.7071310197462,1455.363488160625,0.4887049993823455,531333.1028222074,891886.6238727806,178.37732477455612,14.864777064546344,8.855551713703456,2978.0,170383.18895651534
6,0.6,0.5916,2291.2655713857143,2735.8346573276713,2731.6865393137523,4.148118013918975,1.1940277423507437,1.192217337626943,125.0,125.0,10835.132002026,9370.185061671531,1464.946940354468,1465.2885318821873,0.49536461524076647,534705.6332293808,904040.4228143989,180.80808456287977,15.067340380239981,8.911760553823013,2958.0,60184.03389557314
7,0.6,0.5996,2291.2655713857143,2731.197278911855,2729.231949299284,1.965329612570713,1.1920038048056028,1.191146056303153,125.0,125.0,10835.132002026,9338.490483548252,1496.641518477747,1494.5791042370538,0.4985253850023528,546274.1542443776,909808.827629294,181.9617655258588,15.163480460488232,9.104569237406293,2998.0,175378.07352282517
8,0.6,0.5906,2291.2655713857143,2748.1365096486675,2746.0359981962265,2.100511452440969,1.1993967630677775,1.1984800157999473,125.0,125.0,10835.132002026,9395.0008906655,1440.1311113604988,1443.053553007143,0.4886737395892797,525647.8556465821,891829.5747504353,178.36591495008707,14.86382624584059,8.760797594109702,2953.0,63555.69043145598
9,0.6,0.6036,2291.2655713857143,2788.16243461928,2783.6813591325918,4.481075486688042,1.2168656787056995,1.2149099580146328,125.00000000000001,125.0,10835.132002026,9364.027501750345,1471.1045002756546,1470.827758639146,0.4873518086942167,536953.1426006139,889417.0508669454,177.88341017338908,14.82361751444909,8.949219043343565,3018.0,327540.67780599213
10,0.6,0.6042,2291.2655713857143,2790.042973346242,2785.3816794750655,4.66129387117644,1.217686421072035,1.2156520458649929,125.0,125.0,10835.132002026,9379.530593141732,1455.6014088842676,1456.3932286194313,0.4820897810723043,531294.5142427577,879813.8504569554,175.96277009139106,14.66356417428259,8.85490857071263,3021.0,325052.0990147912
11,0.6,0.5916,2291.2655713857143,2700.5692940948,2696.6197263221247,3.9495677726754366,1.178636526389888,1.176912776938057,125.0,125.0,10835.132002026,9407.789037087325,1427.3429649386744,1426.4762291572579,0.4822434851782481,520980.1822026162,880094.3604503028,176.01887209006057,14.668239340838381,8.68300303671027,2958.0,57587.13900795132
12,0.6,0.5872,2291.2655713857143,2634.8183266363385,2631.679848252298,3.1384783840403543,1.149940172602013,1.1485704150220821,125.0,125.0,10835.132002026,9409.42102309022,1425.7109789357783,1428.12256057808,0.4864177658644687,520384.50731155905,887712.4227026555,177.5424845405311,14.795207045044258,8.673075121859316,2936.0,60002.402657087325
13,0.6,0.5916,2291.2655713857143,2769.132405077035,2765.9525681021637,3.1798369748712503,1.2085602121635841,1.207172404039296,125.0,125.0,10835.132002026,9360.24097651958,1474.8910255064184,1473.813449799114,0.49824660236616436,538335.2243098427,909300.0493182499,181.86000986365,15.155000821970832,8.972253738497377,2958.0,174022.54152800835
14,0.6,0.5992,2291.2655713857143,2656.4398597885606,2655.1309581416854,1.3089016468752561,1.1593766750407706,1.1588054179751464,125.0,125.0,10835.132002026,9350.78815731984,1484.3438447061599,1484.4431758692917,0.4954750253235286,541785.5033177483,904241.9212154398,180.84838424308793,15.070698686923995,9.029758388629139,2996.0,64681.64379020466
15,0.6,0.6024,2291.2655713857143,2680.165287833156,2676.06147140911,4.103816424046272,1.1697314014159619,1.1679403316790895,124.99999999999999,125.0,10835.132002026,9370.50156784995,1464.6304341760497,1464.0302304310562,0.48606581355612755,534590.1084742581,887070.1097399327,177.41402194798656,14.784501828998879,8.909835141237634,3012.0,325195.0011589412
16,0.6,0.5952,2291.2655713857143,2744.2964263364224,2741.0845084475945,3.211917888827884,1.1977207970164383,1.1963189874973061,125.0,125.0,10835.132002026,9362.964599922421,1472.1674021035778,1472.809727795382,0.49489574186672786,537341.1017678059,903184.7289067784,180.63694578135568,15.053078815112974,8.95568502946343,2976.0,63526.27443146258
17,0.6,0.5992,2291.2655713857143,2703.3480524486536,2701.1396502316875,2.2084022169660784,1.1798492877513624,1.178885452635719,125.0,125.0,10835.132002026,9346.87443261591,1488.2575694100888,1488.5643687233442,0.49685059036159684,543214.0128346824,906752.3274099142,181.35046548198284,15.112538790165237,9.05356688057804,2996.0,58187.74986819014
18,0.6,0.5938,2291.2655713857143,2683.1071731000575,2678.7211639216443,4.386009178413133,1.1710153578912132,1.1691011279419714,125.00000000000001,125.0,10835.132002026,9379.493763799877,1455.6382382261218,1457.448382660251,0.4908886435366288,531307.9569525344,895871.7744543477,179.17435489086952,14.931196240905793,8.855132615875574,2969.0,322749.7644389306
19,0.6,0.5956,2291.2655713857143,2726.990931650071,2722.406135462193,4.584796187878055,1.1901679865074908,1.188166997951151,125.0,125.0,10835.132002026,9419.719347704937,1415.4126543210623,1417.2828878994687,0.4759176923772561,516625.61882718775,868549.7885884924,173.70995771769847,14.475829809808205,8.610426980453129,2978.0,59315.395887580926
20,0.6,0.6,2291.2655713857143,2795.604650341754,2791.223297807339,4.381352534415328,1.220113759511092,1.2182015619076665,125.0,125.0,10835.132002026,9415.634450321688,1419.4975517043113,1422.3066297907517,0.47410220993025054,518116.6063720736,865236.5331227072,173.04730662454145,14.420608885378455,8.635276772867893,3000.0,58760.03684505874
21,0.6,0.5946,2291.2655713857143,2667.3210441146407,2663.002630467707,4.31841364693355,1.1641256593846059,1.162240930830717,125.0,125.0,10835.132002026,9407.601703944698,1427.5302980813012,1427.227719050623,0.48006314128847055,521048.55879967497,876115.2328514587,175.22304657029176,14.601920547524314,8.684142646661249,2973.0,320721.40387516073
22,0.6,0.5866,2291.2655713857143,2711.9197684030014,2708.515475576291,3.404292826710389,1.1835903276645856,1.1821045580230283,125.00000000000001,125.0,10835.132002026,9371.522796857447,1463.6092051685519,1460.470241638006,0.49794416694101806,534217.3598865215,908748.104667358,181.7496209334716,15.145801744455966,8.903622664775357,2933.0,57649.755945208846
23,0.6,0.601,2291.2655713857143,2674.1210011550775,2670.008009062178,4.112992092899276,1.1670934327956664,1.1652983584296637,125.0,125.0,10835.132002026,9368.411565166387,1466.7204368596122,1465.4617177835016,0.48767444851364444,535352.9594537584,890005.8685374011,178.00117370748023,14.833431142290019,8.922549324229307,3005.0,59356.69119042305
24,0.6,0.6136,2291.2655713857143,2752.6881398007035,2749.251686686461,3.4364531142423402,1.2013832766386523,1.1998834709604462,125.0,125.0,10835.132002026,9351.523669450213,1483.6083325757863,1486.596361218898,0.48454900952376073,541517.041390162,884301.9423808634,176.86038847617266,14.738365706347722,9.025284023169366,3068.0,67280.1579036791
25,0.6,0.5998,2291.2655713857143,2785.206779201029,2784.173067346139,1.0337118548900435,1.2155757123852684,1.215124559158947,125.0,125.0,10835.132002026,9353.520160674976,1481.611841351023,1479.6173990772959,0.49337025644458016,540788.3220931235,900400.7180113589,180.08014360227176,15.006678633522647,9.013138701552059,2999.0,326122.9330838843
26,0.6,0.601,2291.2655713857143,2635.0117774209343,2632.019941134822,2.991836286112175,1.1500246022670033,1.1487188451677497,125.00000000000001,125.0,10835.132002026,9318.105612206295,1517.0263898197045,1515.898358712975,0.504458688423619,553714.6322841921,920637.1063731046,184.12742127462093,15.343951772885077,9.228577204736537,3005.0,58008.326628156065
27,0.6,0.6012,2291.2655713857143,2706.1559960212744,2704.9655987189053,1.1903973023690924,1.181074786710404,1.1805552496836904,125.0,125.0,10835.132002026,9359.549410626358,1475.5825913996414,1476.930643618487,0.49132755942065437,538587.6458608691,896672.7959426942,179.33455918853883,14.944546599044903,8.976460764347818,3006.0,57367.30210639721
28,0.6,0.6076,2291.2655713857143,2607.0979612467477,2604.1269627834517,2.9709984632959276,1.1378418956777776,1.1365452330384054,125.0,125.0,10835.132002026,9323.095544581316,1512.036457444683,1510.5344973159708,0.4972134619209911,551893.3069673093,907414.5680058087,181.48291360116175,15.123576133430147,9.198221782788488,3038.0,63220.20385283843
29,0.6,0.59,2291.2655713857143,2658.567208688584,2655.606809093698,2.9603995948859847,1.1603051352448561,1.1590130983758626,125.0,125.0,10835.132002026,9383.8276141332,1451.3043878927983,1452.251283577124,0.49228857070410986,529726.1015808714,898426.6415350005,179.6853283070001,14.973777358916676,8.82876835968119,2950.0,322304.3421934886
30,0.6,0.6042,2291.2655713857143,2666.265991764175,2663.348501249835,2.9174905143399883,1.1636651923118921,1.162391882683024,125.0,125.0,10835.132002026,9360.817256178061,1474.314745847938,1474.5816024227552,0.48811042781289476,538124.8822344973,890801.530758533,178.16030615170658,14.846692179308882,8.968748037241621,3021.0,328637.9771901768
